price,abs pidurid,elektrooniline seisupidur,turvakardinad,kõrvalistuja turvapadja väljalülitamise võimalus,juhi väsimuse tuvastamise süsteem,sõiduraja vahetamise abisüsteem,liiklusmärkide tuvastus ja kuvamine,öise nägemise assistent,pimenurga hoiatus,jalakäija ohutusfunktsiooniga kapott,lisapidurituli,vihmasensor,integreeritud lapseiste,turvavööde eelpingutid esiistmetel,automaatne paigalseismise funktsioon / mägistardi abi,laser,esitulede pesurid,kurvituled,päevasõidutulede automaatne lülitus,kaugtulede ümberlülitamise assistent,tulede korrektor,valgustuspakett,rehvirõhu kontrollsüsteem,multifunktsionaalne rool,nahkkattega rool,sportrool,soojendusega rool,käiguvahetus roolilt,parempoolne rool (vasakpoolne liiklus),apple carplay,android auto,dvd,elektriline antenn,autokompuuter,gsm antenn,taskud esiistmete seljatugedes,sahtlid esiistmete all,pagasiruumi matt,nahkkattega käigukanginupp,nahkkattega käsipidurikang,tume laepolster,kaassõitja istme seljatugi allaklapitav,tagaistme seljatugi allaklapitav,comfort istmed,sportistmed,kliimaautomaatik,konditsioneer,virtuaalsed välispeeglid,virtuaalne sisepeegel,toonitud klaasid,panoraamkatus (klaasist),uste servosulgurid,võtmeta avamine,võtmeta käivitus,salongi lisasoojendus,integreeritud väravapult,eraldi kliimaseade tagaistmetele,uste sisevalgustus,kohtvalgustid,automaatse parkimise funktsioon,coming-/leaving-home funktsioon,digitaalne näidikutepaneel,info kuvamine esiklaasile,pakiruumi liugpõrand,elektrilised liuguksed,telefoni juhtmevaba laadimine,tagaspoiler,esispoiler,spoileriring,sportvedrustus,sportsummuti,õhkvedrustus,start-stopp süsteem,suusakott,rehviparanduskomplekt,jahutusega kindalaegas,välistemperatuuri näidik,elektrilise soojendusega esiklaas,tagaklaasi soojendus,aknapesupihustite sulatus,pagasi võrk pakiruumis,salongi ja pakiruumi eraldusvõrk,kaubakinnituse konksud,tagaklaasi puhasti,paigaldatud tulekustuti,haagise stabiliseerimissüsteem,reisiarvesti,esi- ja tagarataste porikummid,invavarustus,4-ratta pööramine,arvel kui n1 kaubik,kesklukustus,kesklukustus (puldiga),isofix lasteistme kinnitus,isofix lasteistme kinnitus (ees),isofix lasteistme kinnitus (taga),"isofix lasteistme kinnitus (ees, taga)",xenon,xenon (lähituled),xenon (kaugtuled),"xenon (lähituled, kaugtuled)",led,led (päevatuled),"led (päevatuled, tagatuled)","led (päevatuled, tagatuled, lähituled)","led (päevatuled, tagatuled, lähituled, kaugtuled)",led (tagatuled),"led (tagatuled, lähituled)","led (tagatuled, lähituled, kaugtuled)",led (lähituled),"led (lähituled, kaugtuled)",led (kaugtuled),udutuled,udutuled (eesmised),"udutuled (eesmised, tagumine)","udutuled (eesmised, tagumine, kurvitule funktsiooniga)",udutuled (tagumine),"udutuled (tagumine, kurvitule funktsiooniga)",udutuled (kurvitule funktsiooniga),reguleeritav roolisammas,reguleeritav roolisammas (kõrgus ja sügavus),"reguleeritav roolisammas (kõrgus ja sügavus, elektriliselt)","reguleeritav roolisammas (kõrgus ja sügavus, elektriliselt, mäluga)",reguleeritav roolisammas (elektriliselt),"reguleeritav roolisammas (elektriliselt, mäluga)",reguleeritav roolisammas (mäluga),navigatsiooniseade,navigatsiooniseade (kaardiga),"navigatsiooniseade (kaardiga, hääljuhtimisega)",navigatsiooniseade (hääljuhtimisega),jalamatid,jalamatid (tekstiilist),"jalamatid (tekstiilist, kummist)","jalamatid (tekstiilist, kummist, veluurist)",jalamatid (kummist),"jalamatid (kummist, veluurist)",jalamatid (veluurist),topsihoidjad,"topsihoidjad (ees, taga)",topsihoidjad (taga),topsihoidjad (ees),istmed reguleeritava kõrgusega,"istmed reguleeritava kõrgusega (juhiiste, kõrvalistuja iste)",istmed reguleeritava kõrgusega (juhiiste),istmed reguleeritava kõrgusega (kõrvalistuja iste),käetugi ees,käetugi ees (laekaga),käetugi taga,käetugi taga (laekaga),elektrilised välispeeglid,elektrilised välispeeglid (soojendusega),"elektrilised välispeeglid (soojendusega, kokkuklapitavad)","elektrilised välispeeglid (soojendusega, kokkuklapitavad, mäluga)",elektrilised välispeeglid (kokkuklapitavad),"elektrilised välispeeglid (kokkuklapitavad, mäluga)",elektrilised välispeeglid (mäluga),püsikiiruse hoidja,püsikiiruse hoidja (eessõitjaga distantsi hoidev),pakiruumi avamine elektriliselt,"pakiruumi avamine elektriliselt (puldist, jalaviipega)",pakiruumi avamine elektriliselt (puldist),pakiruumi avamine elektriliselt (jalaviipega),rulookardin tagaaknal,rulookardin tagaaknal (elektriline),automaatselt tumenevad peeglid,"automaatselt tumenevad peeglid (sees, väljas)",automaatselt tumenevad peeglid (sees),automaatselt tumenevad peeglid (väljas),parkimisandurid,"parkimisandurid (ees, taga)",parkimisandurid (ees),parkimisandurid (taga),parkimiskaamera,parkimiskaamera (360),reguleeritav vedrustus,reguleeritav vedrustus (elektriliselt),"reguleeritav vedrustus (elektriliselt, jäikus)","reguleeritav vedrustus (elektriliselt, jäikus, kõrgus)",reguleeritav vedrustus (jäikus),"reguleeritav vedrustus (jäikus, kõrgus)",reguleeritav vedrustus (kõrgus),pagasikate,pagasikate (automaatne),veokonks,"veokonks (elektriline, teisaldatav)",veokonks (teisaldatav),veokonks (elektriline),immobilisaator,stabiilsuskontroll,pidurdusjõukontroll,veojõukontroll,sõiduraja hoidmise abisüsteem,kokkupõrget ennetav pidurisüsteem,automaatpidurdussüsteem,mägipidur,lisatuled,suverehvid,ilukilbid,tagavararatas,helivõimendi,kõlarid,subwoofer,cd box,autotelefon,käed vabad süsteem,nahkpolster,poolnahkpolster,veluurpolster,tekstiilpolster,mootori eelsoojendus,salongi eelsoojendus,katusereelingud,topeltklaasid,turvapadi,elektriliselt reguleeritavad istmed,õhuga reguleeritav iste,istmesoojendused,elektrilised akende tõstukid,peeglid päikesesirmides,rulookardinad ustel,12v pistikupesad,Mark,Mudel,Liik,Keretüüp,Kütus,Vedav sild,Käigukast,Värvus,mileage_km,reg_year,engine_l,power_kw,seats,doors,num_addons,car_age,pikkus,laius,kõrgus,tühimass,täismass,kandevõime,piduriga haagis,pidurita haagis,teljevahe,CO2 (NEDC),CO2 (WLTP),kütusepaak,kiirendus 0-100 km/h
18000.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,Mercedes-Benz,Vito,sõiduauto,mahtuniversaal,diisel,esivedu,manuaal,must,131000.0,2017.0,1.598,84.0,80.0,40.0,38,8.0,5370 mm,1928 mm,1878 mm,2188 kg,3100 kg,912 kg,1800 kg,750 kg,3430 mm,164 g/km,,,
46200.0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,4,4,2,0,1,Volvo,XC60,maastur,universaal,hübriid (diisel / elekter),nelikvedu,automaat,must (Onyx Black),69000.0,2023.0,1.969,197.0,50.0,50.0,106,2.0,4708 mm,1902 mm,1643 mm,2076 kg,2540 kg,464 kg,2400 kg,750 kg,2865 mm,,170 g/km,,
710.0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,4,1,2,1,Renault,Megane,sõiduauto,universaal,bensiin,esivedu,manuaal,roheline met.,224952.0,2007.0,1.598,82.0,50.0,50.0,59,18.0,4500 mm,1777 mm,1505 mm,1385 kg,1890 kg,505 kg,1350 kg,650 kg,2686 mm,166 g/km,,60 l,
990.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,Volvo,V40,sõiduauto,universaal,bensiin,esivedu,manuaal,hõbedane,190000.0,1996.0,1.948,103.0,50.0,50.0,15,29.0,4483 mm,1717 mm,1458 mm,1325 kg,1740 kg,415 kg,1400 kg,500 kg,2550 mm,,,,
1000.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Peugeot,207,sõiduauto,luukpära,bensiin,esivedu,manuaal,,178320.0,2007.0,1.587,80.0,50.0,50.0,33,18.0,4030 mm,1748 mm,1479 mm,1300 kg,1680 kg,380 kg,1150 kg,600 kg,2540 mm,166 g/km,,,
1200.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,Opel,Corsa,sõiduauto,luukpära,bensiin,esivedu,manuaal,valge,209635.0,2008.0,1.229,59.0,50.0,50.0,42,17.0,3999 mm,1737 mm,1488 mm,1159 kg,1605 kg,446 kg,850 kg,500 kg,2511 mm,139 g/km,,,
1500.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Citroen,C4,sõiduauto,luukpära,bensiin,esivedu,automaat,must,179000.0,2006.0,1.587,80.0,50.0,30.0,9,19.0,4273 mm,1769 mm,1471 mm,1353 kg,1798 kg,445 kg,1553 kg,676 kg,2608 mm,180 g/km,,,
1790.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,2,4,2,0,2,Fiat,Croma,sõiduauto,mahtuniversaal,bensiin + gaas (LPG/vedelgaas),esivedu,manuaal,hall,225070.0,2007.0,2.198,108.0,50.0,50.0,54,18.0,4756 mm,1775 mm,1597 mm,1621 kg,2030 kg,409 kg,1500 kg,700 kg,2700 mm,204 g/km,,,
1800.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,BMW,316,sõiduauto,luukpära,bensiin,tagavedu,manuaal,must,207424.0,1999.0,1.895,77.0,,,11,26.0,,,,,,,,,,,,,
1600.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mercedes-Benz,B 200,sõiduauto,universaal,bensiin,esivedu,automaat,hõbedane,234000.0,2005.0,2.035,100.0,50.0,50.0,21,20.0,4260 mm,1770 mm,1575 mm,1390 kg,1880 kg,490 kg,1500 kg,400 kg,2778 mm,175 g/km,,,
